state,date,year,month,observed,observed_imp,popn,tas,RH
NT,2016-09-01,2016,9,251,251,246443.0,26.063973743170703,64.87201627950844
NT,2016-10-01,2016,10,106,106,246065.0,27.78086786430101,54.9001053253518
NT,2016-11-01,2016,11,36,36,246065.0,29.611467791864957,57.54236047017895
NT,2016-12-01,2016,12,69,69,246065.0,28.635011845036036,70.89842479236205
NT,2017-01-01,2017,1,75,75,246231.0,28.129563546012136,75.99111196114356
NT,2017-02-01,2017,2,236,236,246231.0,27.97820242583608,70.15814589084279
NT,2017-03-01,2017,3,162,162,246231.0,28.32804818466057,69.35280516762062
NT,2017-04-01,2017,4,30,30,247412.0,26.26377594024347,63.00625606894553
NT,2017-05-01,2017,5,24,24,247412.0,24.472324153534775,55.66670856601242
NT,2017-06-01,2017,6,27,27,247412.0,21.943109261198884,52.1061587165196
NT,2017-07-01,2017,7,59,59,247514.0,23.112878172901578,57.68344200811968
NT,2017-08-01,2017,8,263,263,247514.0,23.306959093067302,50.68822386408435
NT,2017-09-01,2017,9,367,367,247514.0,25.92495540947275,51.95308850433179
NT,2017-10-01,2017,10,153,153,246862.0,28.63257121414022,58.1489244682891
NT,2017-11-01,2017,11,46,46,246862.0,28.74732649372038,62.578604738601726
NT,2017-12-01,2017,12,30,30,246862.0,29.66408049779301,60.99929961812042
NT,2018-01-01,2018,1,36,36,246674.0,28.341842454849232,72.41579203267571
NT,2018-02-01,2018,2,19,19,246674.0,28.389717348277337,71.42488204808697
NT,2018-03-01,2018,3,35,35,246674.0,28.066062309582207,67.66067121461637
NT,2018-04-01,2018,4,9,12,247095.0,27.48181939559987,58.87482491377456
NT,2018-05-01,2018,5,15,15,247095.0,23.72331033705322,49.17966856558228
NT,2018-06-01,2018,6,9,10,247095.0,21.795082265741108,51.79020230812564
NT,2018-07-01,2018,7,5,7,247006.0,22.014542755117866,52.488315781195176
NT,2018-08-01,2018,8,18,23,247006.0,22.562465046283517,49.35363029045456
NT,2018-09-01,2018,9,31,31,247006.0,25.805332019095395,52.410541675675454
NT,2018-10-01,2018,10,33,33,245920.0,28.640792275782054,56.26790730846005
NT,2018-11-01,2018,11,341,341,245920.0,29.202313267944383,62.3213699417346
NT,2018-12-01,2018,12,629,629,245920.0,30.753223235343217,60.50393444637763
NT,2019-01-01,2019,1,129,129,246016.0,30.08466535938041,65.60832299696997
NT,2019-02-01,2019,2,70,70,246016.0,29.55393082286597,63.13195140692537
NT,2019-03-01,2019,3,111,111,246016.0,29.062861007277352,63.14809527249801
NT,2019-04-01,2019,4,267,267,246559.0,26.772717053007867,61.816383457757794
NT,2019-05-01,2019,5,267,267,246559.0,24.255200157466668,56.817355132937536
NT,2019-06-01,2019,6,142,142,246559.0,21.3051950357068,49.244695415784605
NT,2019-07-01,2019,7,143,143,246677.0,21.4810654338929,51.38385412118723
NT,2019-08-01,2019,8,155,155,246677.0,22.16936305839767,46.01534412232272
NT,2019-09-01,2019,9,129,129,246677.0,24.897668444689064,50.228483592505846
NT,2019-10-01,2019,10,78,78,246213.0,28.30813906432001,51.63691949945515
NT,2019-11-01,2019,11,79,79,246213.0,29.619615237048784,53.03975580024806
NT,2019-12-01,2019,12,175,175,246213.0,31.327427519695213,54.759224108809406
NT,2022-01-01,2022,1,0,2,249525.0,28.904822225786177,72.30679079405233
NT,2022-02-01,2022,2,1,4,249525.0,27.75959268225472,70.96976765931933
NT,2022-03-01,2022,3,1,6,249525.0,28.87485216967611,65.33087578817992
NT,2022-04-01,2022,4,110,110,250228.0,27.656266074292468,63.47465799844487
NT,2022-05-01,2022,5,1827,1827,250228.0,25.20788961168651,59.95821498879144
NT,2022-06-01,2022,6,2493,2493,250228.0,22.615789967508498,54.944652106375216
NT,2022-07-01,2022,7,279,279,250704.0,19.48936555821751,51.40291260579146
NT,2022-08-01,2022,8,19,19,250704.0,23.30405280288739,52.8555326369796
NT,2022-09-01,2022,9,11,11,250704.0,26.669872488132555,59.20492675583016
NT,2022-10-01,2022,10,11,11,251248.0,28.44262210466491,61.93169513623624
NT,2022-11-01,2022,11,6,8,251248.0,28.21686115953186,65.07237197831401
NT,2022-12-01,2022,12,37,37,251248.0,28.68879378728895,67.26598680191694
QLD,2008-01-01,2008,1,56,56,4191479.0,24.064853127840284,77.49965401353826
QLD,2008-02-01,2008,2,89,89,4191479.0,23.510333389832237,76.707168732115
QLD,2008-03-01,2008,3,66,66,4191479.0,21.579998104607625,71.67452759925422
QLD,2008-04-01,2008,4,81,81,4219505.0,19.065080684781737,68.79997772930717
QLD,2008-05-01,2008,5,103,103,4219505.0,16.69673526683851,69.18415730436662
QLD,2008-06-01,2008,6,108,108,4219505.0,15.830957683041357,76.36986282868128
QLD,2008-07-01,2008,7,170,170,4247991.0,14.084132849444584,71.50291214352814
QLD,2008-08-01,2008,8,1397,1397,4247991.0,14.058418010809705,59.81061982857693
QLD,2008-09-01,2008,9,1219,1219,4247991.0,18.757655211738363,70.79106172264136
QLD,2008-10-01,2008,10,351,351,4275551.0,20.25160418359335,66.48469673372801
QLD,2008-11-01,2008,11,28,28,4275551.0,22.899512045598502,70.59111540241713
QLD,2008-12-01,2008,12,34,34,4275551.0,24.898295341474643,67.42140205225569
QLD,2009-01-01,2009,1,52,52,4305605.0,24.43011563237078,72.14536151218529
QLD,2009-02-01,2009,2,36,36,4305605.0,24.35080025202446,75.60396932161805
QLD,2009-03-01,2009,3,25,25,4305605.0,23.21779985104705,71.41465463906415
QLD,2009-04-01,2009,4,28,28,4328771.0,20.866916467447453,72.4194175909084
QLD,2009-05-01,2009,5,325,325,4328771.0,17.24316250561403,73.86805434962497
QLD,2009-06-01,2009,6,1894,1894,4328771.0,14.939623588786578,75.75273407318701
QLD,2009-07-01,2009,7,12420,12420,4350135.0,14.05346876507388,67.7898338668841
QLD,2009-08-01,2009,8,2798,2798,4350135.0,17.33840676131068,65.3278207607857
QLD,2009-09-01,2009,9,463,463,4350135.0,18.9076535696863,61.10303946125807
